S No.;Movie Title;Released Year;IMDb Ratings;Users rated
1;The Shawshank Redemption;(1994);9.2;9.2 based on 2,405,848 user ratings
2;The Godfather;(1972);9.1;9.1 based on 1,665,156 user ratings
3;The Godfather: Part II;(1974);9.0;9.0 based on 1,157,059 user ratings
4;The Dark Knight;(2008);9.0;9.0 based on 2,365,469 user ratings
5;12 Angry Men;(1957);8.9;8.9 based on 709,124 user ratings
6;Schindler's List;(1993);8.9;8.9 based on 1,240,431 user ratings
7;The Lord of the Rings: The Return of the King;(2003);8.9;8.9 based on 1,677,749 user ratings
8;Pulp Fiction;(1994);8.8;8.8 based on 1,869,077 user ratings
9;Il buono, il brutto, il cattivo;(1966);8.8;8.8 based on 702,566 user ratings
10;The Lord of the Rings: The Fellowship of the Ring;(2001);8.8;8.8 based on 1,698,616 user ratings
11;Fight Club;(1999);8.8;8.8 based on 1,899,238 user ratings
12;Forrest Gump;(1994);8.7;8.7 based on 1,859,081 user ratings
13;Inception;(2010);8.7;8.7 based on 2,122,949 user ratings
14;The Lord of the Rings: The Two Towers;(2002);8.7;8.7 based on 1,516,986 user ratings
15;Star Wars: Episode V - The Empire Strikes Back;(1980);8.7;8.7 based on 1,182,340 user ratings
16;The Matrix;(1999);8.6;8.6 based on 1,716,634 user ratings
17;Goodfellas;(1990);8.6;8.6 based on 1,046,577 user ratings
18;One Flew Over the Cuckoo's Nest;(1975);8.6;8.6 based on 936,072 user ratings
19;Shichinin no samurai;(1954);8.6;8.6 based on 322,322 user ratings
20;Se7en;(1995);8.6;8.6 based on 1,482,727 user ratings
21;The Silence of the Lambs;(1991);8.6;8.6 based on 1,303,230 user ratings
22;Cidade de Deus;(2002);8.6;8.6 based on 711,106 user ratings
23;It's a Wonderful Life;(1946);8.6;8.6 based on 413,637 user ratings
24;La vita è bella;(1997);8.6;8.6 based on 638,804 user ratings
25;Star Wars;(1977);8.6;8.6 based on 1,254,371 user ratings
26;Saving Private Ryan;(1998);8.5;8.5 based on 1,267,103 user ratings
27;Sen to Chihiro no kamikakushi;(2001);8.5;8.5 based on 674,173 user ratings
28;Interstellar;(2014);8.5;8.5 based on 1,567,820 user ratings
29;The Green Mile;(1999);8.5;8.5 based on 1,177,861 user ratings
30;Gisaengchung;(2019);8.5;8.5 based on 617,908 user ratings
31;Léon;(1994);8.5;8.5 based on 1,059,869 user ratings
32;Seppuku;(1962);8.5;8.5 based on 45,578 user ratings
33;The Usual Suspects;(1995);8.5;8.5 based on 1,010,433 user ratings
34;The Pianist;(2002);8.5;8.5 based on 751,956 user ratings
35;Back to the Future;(1985);8.5;8.5 based on 1,086,391 user ratings
36;Terminator 2: Judgment Day;(1991);8.5;8.5 based on 1,013,974 user ratings
37;Modern Times;(1936);8.5;8.5 based on 223,474 user ratings
38;Psycho;(1960);8.5;8.5 based on 617,587 user ratings
39;The Lion King;(1994);8.5;8.5 based on 964,616 user ratings
40;American History X;(1998);8.5;8.5 based on 1,051,852 user ratings
